Relative Path,File Name,Extension,File Size (bytes),Package,Test,Dimensions (pixels),Colour,Cardinality,Subject,Fingerprint Type,Gender,Eyes,Mouth,Background,Facing,Rotation,Same subject,Same image as,Other,,,RGB_bytes_match,RGBA_bytes_match,BW_bytes_match,bytes_match,skip_bytes_checks
\assets\common,2_1.data,.data,"224,000",com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISO,400x560,BW,One,Fingerprint Scan,Loop,,,,,,,,2_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,2_1.data,.data,"224,000",com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISONegativeMaxMinutiae,400x560,BW,One,Fingerprint Scan,Loop,,,,,,,,2_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,2_1.data,.data,"224,000",com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISOMaxMinutiaeGreaterThan255,400x560,BW,One,Fingerprint Scan,Loop,,,,,,,,2_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,2_1.data,.data,"224,000",com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISOMaxMinutiaeZero,400x560,BW,One,Fingerprint Scan,Loop,,,,,,,,2_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,2_1.data,.data,"224,000",com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISOCC,400x560,BW,One,Fingerprint Scan,Loop,,,,,,,,2_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,2_1.data,.data,"224,000",com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISOCCNegativeMaxMinutiae,400x560,BW,One,Fingerprint Scan,Loop,,,,,,,,2_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,2_1.data,.data,"224,000",com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISOCCMaxMinutiaeGreaterThan255,400x560,BW,One,Fingerprint Scan,Loop,,,,,,,,2_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,2_180.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,180,123456789987654123123456789987654321.data,,glasses,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,3-93453.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,32_faces.data,.data,"2,169,600",N/F,N/F,N/F,,,,,,,,,,,,,,,,,,,N/A,TRUE
\assets\common,32_faces_399by527.data,.data,"841,092",N/F,N/F,399x527,RGBA,Multiple,Face,,,,,White,Front,,,,"croped version of 32_faces_400by528.data, some faces cut in half",,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,32_faces_400by528.data,.data,"844,800",N/F,N/F,800x264,RGBA,Multiple,Face,,,,,White,Front,,,,"collage of the faces from the same folder, pics in grid, repeating",,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,33_faces.data,.data,"2,169,600",N/F,N/F,904x600,RGBA,Multiple,Face,,,,,White,Front,,,,"croped version of 32_faces_400by528.data, some faces cut",,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,3_1.bmp,.bmp,"225,078",N/F,N/F,400x560,BW,One,Fingerprint Scan,,,,,,,,,,,,,,,,N/A,TRUE
\assets\common,3_1.data,.data,"224,000",com.gemalto.cogent.test.finger,FingerAPITest.testExtractTemplateISOCCMaxMinutiae,400x560,BW,One,Fingerprint Scan,,,,,,,,,3_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,3_1_threshold_48.cfd,.cfd,144,N/F,N/F,N/F,,,,,,,,,,,,,,,,,,,N/A,TRUE
\assets\common,3_rotate90.data,.data,"844,800",N/F,N/F,528x400,RGBA,One,Face,,Woman,Open,Neutral,White,Front,90,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,4-33898.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Man,Open,Neutral,White,Front,,,,young,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,4.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Man,Open,Neutral,White,Front,,4-33898.data,,young,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,4Slap_Left.data,.data,"60,060",N/F,N/F,308x195,BW,Multiple,Fingerprint Scan,4 Slap Left,,,,,,,,,with text description,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,4Slap_Right.data,.data,"120,120",N/F,N/F,308x195,BW(16bit),Multiple,Fingerprint Scan,4 Slap Right,,,,,,,,,with text description,,,FALSE,FALSE,FALSE,FALSE,FALSE
\assets\common,4_1.bmp,.bmp,"225,078",N/F,N/F,400x560,BW,One,Fingerprint Scan,Arch,,,,,,,,,,,,,,,N/A,TRUE
\assets\common,4_1.data,.data,"224,000",N/F,N/F,400x560,BW,One,Fingerprint Scan,Arch,,,,,,,,4_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,4_rotate270.data,.data,"844,800",N/F,N/F,528x400,RGBA,One,Face,,Man,Open,Neutral,White,Front,270,4-33898.data,,4.data rotated,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,5-66651.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Man,Open,Neutral,White,Front,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,5.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Man,Open,Neutral,White,Front,,5-66651.data,,,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,5_1.bmp,.bmp,"225,078",N/F,N/F,400x560,BW,One,Fingerprint Scan,Whorl,,,,,,,,,,,,,,,N/A,TRUE
\assets\common,5_1.data,.data,"224,000",N/F,N/F,400x560,BW,One,Fingerprint Scan,Whorl,,,,,,,,5_1.bmp,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,7-98707.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,7.data,.data,"844,800",com.gemalto.cogent.test.nist,TestFileCreation.testFileCreationDisableAutoIDC1,400x528,RGBA,One,Face,,Woman,Open,Neutral,White,Front,,7-98707.data,,,,,FALSE,TRUE,FALSE,TRUE,FALSE
