Relative Path,File Name,File Extension,File Size,Package,Test,Dimensions
common,5.data,.data,844800,com.gemalto.cogent.test.nist,TestFileCreation.testCreateRecordWithIDC,NF
common,5.data,.data,844800,com.gemalto.cogent.test.nist,TestFileParsing.testFileReadKnown,NF
common,5.data,.data,844800,com.gemalto.cogent.test.nist,TestFileParsing.testFileReadWriteAllTypes,NF
common,5.data,.data,844800,com.gemalto.cogent.test.nist,TestFileParsing.testFileCustomFieldNumberRead,NF
common,5_1.bmp,.bmp,225078,NF,NF,NF
common,5_1.data,.data,224000,com.gemalto.cogent.test.face,FaceAPITest.testAttribute,1000x1500
common,5_1.data,.data,224000,com.gemalto.cogent.test.face,FaceAPITest.testFeatureExtract,1000x1500
common,5_1.data,.data,224000,com.gemalto.cogent.test.face,FaceAPITest.testVerify,1000x1500
common,5_1.data,.data,224000,com.gemalto.cogent.test.face,FaceAPITest.testMatchQuality,1000x1500
common,7-98707.data,.data,844800,NF,NF,NF
common,7.data,.data,844800,com.gemalto.cogent.test.nist,TestFileCreation.testFileCreationDisableAutoIDC1,NF
common,8-68682.data,.data,844800,NF,NF,NF
common,8.data,.data,844800,com.gemalto.cogent.test.face,FaceAPITest.testAttribute,380x453
common,8.data,.data,844800,com.gemalto.cogent.test.face,FaceAPITest.testFeatureExtract,380x453
common,8.data,.data,844800,com.gemalto.cogent.test.face,FaceAPITest.testVerify,380x453
common,8.data,.data,844800,com.gemalto.cogent.test.nist,TestFileCreation.testFullFileCreation,NF
common,8.data,.data,844800,com.gemalto.cogent.test.nist,TestFileParsing.testFileReadKnown,NF
common,8.data,.data,844800,com.gemalto.cogent.test.nist,TestFileParsing.testGetRecords,NF
common,8.data,.data,844800,com.gemalto.cogent.test.nist,TestFileParsing.testFileReadWriteAllTypes,NF
common,8face.data,.data,844800,com.gemalto.cogent.test.facelite,FaceLiteAPITest.testMaxFacesTracked,NF
common,9_faces.data,.data,844800,com.gemalto.cogent.test.facelite,FaceLiteAPITest.testExceedMaxFaceTrackedLimit,NF
common,AESDBFace_test,-,20480,NF,NF,NF
common,AESFacetest,-,20480,com.gemalto.cogent.test.facelite,DBFace,NF
common,bigSize1500x1200.wsq,.wsq,82189,com.gemalto.cogent.test.image,BitmapUtilTest.testLargeWsqDecoding,NF
common,bigSize1500x1200.wsq,.wsq,82189,com.gemalto.cogent.test.image,BitmapUtilTest.testGetWSQImageFormat,NF
common,childISO.data,.data,906400,com.gemalto.cogent.test.facelite,FaceLiteAPITest.testQualityCheckChild,412x550
common,Clean1upEnc,-,12288,NF,NF,NF
common,closed_eyes.data,.data,314908,NF,NF,NF
common,closed_right_eye.data,.data,640000,NF,NF,NF
common,corruptDBFace,-,20480,com.gemalto.cogent.test.facelite,DBFace,NF
common,eye1.data,.data,307200,com.gemalto.cogent.test.iris,DBIris,NF
common,eye1.data,.data,307200,com.gemalto.cogent.test.iris,IrisAPITest.testTrackResultsSingle,640x480
common,eye1.data,.data,307200,com.gemalto.cogent.test.iris,IrisAPITest.testTrackMinRadius,640x480
common,eye1.data,.data,307200,com.gemalto.cogent.test.iris,IrisAPITest.testTrackActualRadius,640x480
common,eye1.data,.data,307200,com.gemalto.cogent.test.iris,IrisAPITest.testQualityCheckIris,640x480
common,eye1.data,.data,307200,com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,NF
common,eye1.data,.data,307200,com.gemalto.cogent.test.iris,IrisThreadSafetyTest.setUpClass,NF
common,eye1.data,.data,307200,com.gemalto.cogent.test.iris,IrisThreadSafetyTest.testThreadSafetyExtractAndMatch,NF
common,eye1.data,.data,307200,com.gemalto.cogent.test.iris,IrisThreadSafetyTest.testThreadSafetyTrackResultsSingle,640x480
common,eye1.data,.data,307200,com.gemalto.cogent.test.iris,IrisThreadSafetyTest.testThreadSafetyQualityCheckIris,640x480
common,eye10.data,.data,307200,com.gemalto.cogent.test.iris,DBIris,NF
common,eye10.data,.data,307200,com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,NF
common,eye2.data,.data,307200,com.gemalto.cogent.test.iris,DBIris,NF
common,eye2.data,.data,307200,com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,NF
common,eye2.data,.data,307200,com.gemalto.cogent.test.iris,IrisThreadSafetyTest.setUpClass,NF
common,eye2.data,.data,307200,com.gemalto.cogent.test.iris,IrisThreadSafetyTest.testThreadSafetyExtractAndMatch,NF
common,eye3.data,.data,307200,com.gemalto.cogent.test.iris,DBIris,NF
common,eye3.data,.data,307200,com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,NF
common,eye3.data,.data,307200,com.gemalto.cogent.test.iris,IrisThreadSafetyTest.setUpClass,NF
common,eye4.data,.data,307200,com.gemalto.cogent.test.iris,DBIris,NF
common,eye4.data,.data,307200,com.gemalto.cogent.test.iris,IrisAPITest.testTrackResultsSingleFast,640x480
common,eye4.data,.data,307200,com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,NF
common,eye4.data,.data,307200,com.gemalto.cogent.test.iris,IrisThreadSafetyTest.setUpClass,NF
common,eye4.data,.data,307200,com.gemalto.cogent.test.iris,IrisThreadSafetyTest.testThreadSafetyTrackResultsSingleFast,640x480
common,eye5.data,.data,307200,com.gemalto.cogent.test.iris,DBIris,NF
common,eye5.data,.data,307200,com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,NF
common,eye6.data,.data,307200,com.gemalto.cogent.test.iris,DBIris,NF
common,eye6.data,.data,307200,com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,NF
common,eye7.data,.data,307200,com.gemalto.cogent.test.iris,DBIris,NF
common,eye7.data,.data,307200,com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,NF
common,eye8.data,.data,307200,com.gemalto.cogent.test.iris,DBIris,NF
common,eye8.data,.data,307200,com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,NF
common,eye9.data,.data,307200,com.gemalto.cogent.test.iris,DBIris,NF
common,eye9.data,.data,307200,com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,NF
common,face1.data,.data,844800,com.gemalto.cogent.benchmarktest.facelite,FaceBenchMarkTest.setUpClass,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.facelite,DBFace,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.facelite,FaceBenchMarkDB,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.facelite,FaceLiteAPITest.testFaceTracking,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.facelite,FaceLiteAPITest.testAssessFace,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.facelite,FaceTemplateTest.setUpClass,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.facelite,FaceTemplateTest.testOneToOneMatching,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.facelite,FaceThreadSafetyTest.setUpClass,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.facelite,FaceThreadSafetyTest.testThreadSafetyExtractAndMatch,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.facelite,FaceThreadSafetyTest.testThreadSafetyTrack,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.facelite,FaceThreadSafetyTest.testThreadSafetyQualityCheck,400x528
common,face1.data,.data,844800,com.gemalto.cogent.test.facelite,FaceThreadSafetyTest.testThreadAssessFace,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.face_image,NV21Test.setUpClass,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.image,BitmapUtilTest.testJp2encoding,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.image,BitmapUtilTest.testThreadSafetyJp2Encoding,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.image,BitmapUtilTest.testJp2encodingWrongWidth,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.image,BitmapUtilTest.testJp2encodingWrongHeight,NF
common,face1.data,.data,844800,com.gemalto.cogent.test.image,BitmapUtilTest.testConvertResolutionInvalidArguments,NF
common,face1.yuv,.yuv,316800,com.gemalto.cogent.test.face_image,NV21Test.testNV21Conversion,400x528
common,face1_180.yuv,.yuv,316800,com.gemalto.cogent.test.face_image,NV21Test.testNV21Conversion,400x528
common,face1_270.yuv,.yuv,316800,com.gemalto.cogent.test.face_image,NV21Test.testNV21Conversion,528x400
common,face1_90.yuv,.yuv,316800,com.gemalto.cogent.test.face_image,NV21Test.testNV21Conversion,528x400
common,face1_test_db,-,12288,com.gemalto.cogent.test.facelite,NonEncryptedFaceDB.setUpClass,NF
common,faceDBEncAES,-,12288,com.gemalto.cogent.test.facelite,EncryptedAESFaceDB.setUpClass,NF
common,faceDBEncAES256,-,47157248,com.gemalto.cogent.benchmarktest.facelite,EncryptedAESFaceBenchMark.setUpClass,NF
common,faceDBEncChachaa,-,12288,NF,NF,NF
common,faceDBEnChacha256,-,47157248,com.gemalto.cogent.benchmarktest.facelite,EncryptedChachaFaceBenchMark.setUpClass,NF
common,faceISO.data,.data,630000,com.gemalto.cogent.test.facelite,FaceLiteAPITest.testQualityCheck,350x450
common,face_11.data,.data,4194304,com.gemalto.cogent.test.facelite,FaceLiteAPITest.testAssessFace,NF
