common,finger1.wsq,.wsq,"black and white
500*500"
common,finger10.data,.data,"black and white
numeric minutiae
275*404"
common,finger11.data,.data,"black and white
numeric minutiae
275*405"
common,finger180.data,.data,"black and white
numeric minutiae
275*405"
common,finger2.data,.data,"black and white
numeric minutiae
275*400"
common,finger3.data,.data,"black and white
numeric minutiae
275*400"
common,finger4.data,.data,"black and white
numeric minutiae
275*400"
common,finger5.data,.data,"black and white
numeric minutiae
275*400"
common,finger6.data,.data,"black and white
numeric minutiae
275*400"
common,finger7.data,.data,"black and white
numeric minutiae
275*401"
common,finger8.data,.data,"black and white
numeric minutiae
275*402"
common,finger9.data,.data,"black and white
numeric minutiae
275*403"
common,fingerAEE,-,
common,fingerchachaCorruptF,-,
common,fingerDBEncAES,-,
common,fingerDBEncChacha,-,
common,fingert_db_CleanUp,-,
common,finger_180.data,.data,"black and white
numeric minutiae
275*400"
common,fingetestdb,-,
common,FVC2000_Db1_100_1.raw,.raw,"black and white
light
300*300"
common,FVC2000_Db1_100_2.raw,.raw,"black and white
light
300*300"
common,FVC2000_Db1_100_3.raw,.raw,"black and white
light
300*300"
common,FVC2000_Db1_100_4.raw,.raw,"black and white
light
300*300"
common,FVC2000_Db1_100_5.raw,.raw,"black and white
light
300*300"
common,FVC2000_Db1_100_6.raw,.raw,"black and white
light
300*300"
common,FVC2000_Db1_100_7.raw,.raw,"black and white
light
300*300"
common,FVC2000_Db1_100_8.raw,.raw,"black and white
light
300*301"
common,head-tilt.data,.data,
common,iris1.raw,.raw,"black and white
4 iris (same)
1280*720"
common,iris2.raw,.raw,
common,iris3.raw,.raw,
common,irisBoth.raw,.raw,"black and white
both iris
160*240"
common,irisISO.raw,.raw,
common,iris_image.data,.data,"black and white
1800*980"
common,katt-williams-head-tilted.data,.data,"color
man
cap
mouth closed
beard
rotation 45
800*450"
common,left_4_slap_missing_middle.data,.data,"black and white
left slap
middle missed"
common,manifest.mf,.mf,
common,mouthOpen.data,.data,"color
woman
mouth open
rotation 0
442*627"
common,nfiq_rolledImg.wsq,.wsq,
common,No_Left_eye.data,.data,"color
man
no left eye
rotation 0
615*409"
common,Obama_closed_right_eye.data,.data,"black and white
man
right eye closed
rotation 0
594*395"
common,right_4_slap.data,.data,"black and white
right 4 slap
1000*500"
common,right_4_slap_missing_index.data,.data,"black and white
right 4 slap
missing index
1000*500"
common,right_4_slap_missing_little.data,.data,"black and white
right 4 slap
missing little
1000*500"
common,right_4_slap_missing_middle.data,.data,"black and white
right 4 slap
missing middle
1000*501"
common,right_4_slap_missing_ring.data,.data,"black and white
right 4 slap
missing ring
1000*501"
common,Sunglases.data,.data,"color
man
sunglasses
224*225"
common,testWSQ.wsq,.wsq,"black and white
letter A
bad bit rate
64*64"
common,testWSQIn.data,.data,"black and white
letter A
64*64"
common,testWSQOut.data,.data,"black and white
letter A
64*64"
common,testWSQ_HighBitRateAndComment.wsq,.wsq,"black and white
letter A
high bit rate
64*64"
common,thumb_2_slap.data,.data,"black and white
thumb
left / right
1500*1000"
common,thumb_2_slap_missing_left.data,.data,"black and white
thumb
right / missing left
1500*1000"
